id;;word;;definition;;speciality;;rank
n-verb-956;;retornar;;to return or go back to a place; to return or take back an object;;None;;3754
n-verb-957;;alquilar;;to rent, hire;;None;;3761
n-verb-958;;radicar;;to make one's home, settle down, dwell;;None;;3763
n-verb-959;;mojar;;to make wet, dampen;;None;;3766
n-verb-960;;derribar;;to knock down, knock out; to demolish, cut down; to overthrow;;None;;3772
n-verb-961;;sobresalir;;to stand out, excel;;None;;3779
n-verb-962;;ﬁltrar;;to filter;;None;;3781
n-verb-963;;movilizar;;to mobilize;;None;;3787
n-verb-964;;apelar;;to call upon, appeal to;;None;;3790
n-verb-965;;entusiasmar;;to excite, fill with enthusiasm;;None;;3793
n-verb-966;;entusiasmarse;;to get excited;;None;;3793
n-verb-967;;coser;;to sew;;None;;3799
n-verb-968;;madurar;;to mature, ripen;;None;;3819
n-verb-969;;almorzar (o-ue);;to have lunch;;None;;3820
n-verb-970;;albergar;;to lodge, harbor;;None;;3822
n-verb-971;;complacer;;to please;;None;;3823
n-verb-972;;complacer en;;to take pleasure in;;None;;3823
n-verb-973;;remover (o-ue);;to stir; to remove, oust;;None;;3827
n-verb-974;;pecar;;to sin;;None;;3828
n-verb-975;;acontecer;;to occur, happen (a........);;None;;3831
n-verb-976;;desbordar;;to overﬂow, spill over; to surpass, exceed;;None;;3834
n-verb-977;;alegar;;to plead, argue;;None;;3836
n-verb-978;;encarar;;to face, confront, handle;;None;;3839
n-verb-979;;tranquilizar;;to calm down (t...........);;None;;3848
n-verb-980;;emigrar;;to emigrate, migrate;;None;;3850
n-verb-981;;desechar;;to discard, throw away; to reject;;None;;3855
n-verb-982;;estrenar;;to use for the ﬁrst time, debut;;None;;3869
n-verb-983;;incitar;;to incite, urge on;;None;;3877
n-verb-984;;propiciar;;to favor, foster, aid;;None;;3884
n-verb-985;;cuestionar;;to question;;None;;3888
n-verb-986;;fundir;;to melt;;None;;3893
n-verb-987;;fundirse;;to be merged;;None;;3893
n-verb-988;;reprimir;;to repress;;None;;3895
n-verb-989;;meditar;;to meditate, ponder;;None;;3901
n-verb-990;;predicar;;to preach;;None;;3917
n-verb-991;;encarnar;;to embody;;None;;3918
n-verb-992;;negociar;;to negotiate, deal with or in;;None;;3921
n-verb-993;;honrar;;to honor;;None;;3931
n-verb-994;;desencadenar;;to unchain; to trigger, unleash;;None;;3933
n-verb-995;;ofender (e-ie);;to offend, insult;;None;;3936
n-verb-996;;ofenderse (e-ie);;to take offense;;None;;3936
n-verb-997;;enfriar;;to cool;;None;;3938
n-verb-998;;ilustrar;;to illustrate;;None;;3941
n-verb-999;;ratiﬁcar;;to ratify;;None;;3942
n-verb-1000;;destrozar;;to smash, shatter; to destroy, wreck,;;None;;3945
n-verb-1001;;simular;;to pretend, simulate;;None;;3947
n-verb-1002;;consentir (e-ie);;to consent;;None;;3960
n-verb-1003;;paralizar;;to paralyze;;None;;3962
n-verb-1004;;disipar;;to dissipate, dispel; to squander;;None;;3963
n-verb-1005;;incrementar;;to increase;;None;;3964
n-verb-1006;;reprochar;;to reproach;;None;;3982
n-verb-1007;;alumbrar;;to light, illuminate;;None;;3985
n-verb-1008;;inscribir;;to register, record;;None;;3993
n-verb-1009;;dotar;;to provide, to equip; to endow;;None;;3998
n-verb-1010;;reventar (e-ie);;to burst, puncture;;None;;4009
n-verb-1011;;aburrir;;to bore, tire;;None;;4024
n-verb-1012;;aburrirse de;;to get bored with;;None;;4024
n-verb-1013;;diluir;;to dilute;;None;;4029
n-verb-1014;;titular;;to title, call;;None;;4035
n-verb-1015;;frecuentar;;to frequent, visit;;None;;4037
n-verb-1016;;desaﬁar;;to defy, stand up to;;None;;4044
n-verb-1017;;despojar;;to deprive, rob;;None;;4050
n-verb-1018;;reinar;;to reign, prevail;;None;;4054
n-verb-1019;;hervir (e-ie);;to boil;;None;;4065
n-verb-1020;;disculpar;;to excuse;;None;;4079
n-verb-1021;;perdurar;;to last, endure, survive (p...);;None;;4086
n-verb-1022;;inundar;;to flood;;None;;4090
n-verb-1023;;articular;;to articulate;;None;;4101
n-verb-1024;;debilitar;;to weaken, debilitate;;None;;4112
n-verb-1025;;ﬁngir;;to feign, pretend;;None;;4113
n-verb-1026;;igualar;;to equalize, make equal, level the playing field;;None;;4114
n-verb-1027;;trepar;;to climb;;None;;4116
n-verb-1028;;regular;;to regulate, adjust;;None;;4131
n-verb-1029;;rematar;;to ﬁnish off, ﬁnish up;;None;;4133
n-verb-1030;;argumentar;;to argue, contend;;None;;4139
n-verb-1031;;poblar (o-ue);;to populate, inhabit;;None;;4142
n-verb-1032;;contradecir (e-i);;to contradict, be inconsistent;;None;;4143
n-verb-1033;;manipular;;to manipulate, handle;;None;;4145
n-verb-1034;;regar (e-ie);;to water, irrigate;;None;;4148
n-verb-1035;;evocar;;to evoke, recall;;None;;4149
n-verb-1036;;prosperar;;to prosper, thrive;;None;;4154
n-verb-1037;;arrasar;;to level, flatten, smooth;;None;;4158
n-verb-1038;;rebajar;;to reduce a price; to lessen, diminish;;None;;4159
n-verb-1039;;entrevistar;;to interview;;None;;4160
n-verb-1040;;replicar;;to reply;;None;;4177
n-verb-1041;;adornar;;to adorn, to decorate;;None;;4179
n-verb-1042;;concurrir;;to meet, get together;;None;;4183
n-verb-1043;;restaurar;;to restore, reinstate;;None;;4187
n-verb-1044;;retrasar;;to delay, fall behind;;None;;4188
n-verb-1045;;palpar;;to feel, touch;;None;;4191
n-verb-1046;;aparentar;;to give the appearance;;None;;4205
n-verb-1047;;oscurecer;;to darken; to obscure, confuse, cloud;;None;;4212
n-verb-1048;;torcer (o-ue);;to twist, bend, distort;;None;;4221
n-verb-1049;;derramar;;to spill; to shed blood or tears;;None;;4222
n-verb-1050;;agravar;;to aggravate;;None;;4226
n-verb-1051;;interponer (-go);;to interpose; to put between two things;;None;;4229
n-verb-1052;;topar;;to encounter unexpectedly, run into; to come to or upon;;None;;4230
n-verb-1053;;topar con;;to bump into someone;;None;;4230
n-verb-1054;;enlazar;;to join, link, fit together;;None;;4232
n-verb-1055;;colar (o-ue);;to strain a liquid;;None;;4237
n-verb-1056;;colarse (o-ue);;to seep, leak, slip through;;None;;4237
n-verb-1057;;encaminar;;to show the way to, direct;;None;;4246
n-verb-1058;;encaminarse;;to head towards;;None;;4246
n-verb-1059;;invocar;;to invoke;;None;;4252
n-verb-1060;;ostentar;;to ﬂaunt, show off;;None;;4254
n-verb-1061;;conﬁgurar;;to make up, comprise;;None;;4257
n-verb-1062;;prevalecer;;to prevail;;None;;4265
n-verb-1063;;engendrar;;to father a child; to give rise to, engender;;None;;4272
n-verb-1064;;contagiar;;to infect, infest;;None;;4273
n-verb-1065;;consagrar;;to consecrate; to dedicate;;None;;4276
n-verb-1066;;ceñir (e-i);;to encircle, surround; to hug, cling to;;None;;4299
n-verb-1067;;ceñirse (e-i);;to restrict oneself to, stick to;;None;;4299
n-verb-1068;;constatar;;to confirm;;None;;4314
n-verb-1069;;dispersar;;to disperse, scatter;;None;;4319
n-verb-1070;;vacilar;;to tease, trick;;None;;4323
n-verb-1071;;capturar;;to capture;;None;;4325
n-verb-1072;;remediar;;to heal, cure;;None;;4327
n-verb-1073;;ﬁar;;to vouch for; to trust;;None;;4328
n-verb-1074;;desﬁlar;;to parade, march;;None;;4329
n-verb-1075;;reaparecer;;to reappear; to make a comeback;;None;;4337
n-verb-1076;;obrar;;to work, act;;None;;4344
n-verb-1077;;coronar;;to crown;;None;;4346
n-verb-1078;;liquidar;;to liquidate or sell off;;None;;4347
n-verb-1079;;repasar;;to review, revise;;None;;4353
n-verb-1080;;intuir;;to sense;;None;;4368
n-verb-1081;;devorar;;to devour, consume;;None;;4370
n-verb-1082;;aferrar;;to grasp, clutch;;None;;4373
n-verb-1083;;consolidar;;to consolidate;;None;;4376
n-verb-1084;;apresurar;;to quicken, speed up;;None;;4377
n-verb-1085;;apresurarse;;to hurry up;;None;;4377
n-verb-1086;;latir;;to beat a heart;;None;;4379
n-verb-1087;;apurar;;to hurry, to rush; to use up exhaust; to trouble;;None;;4389
n-verb-1088;;apurarse;;to hurry up;;None;;4389
n-verb-1089;;insultar;;to insult, berate;;None;;4390
n-verb-1090;;sustentar;;to maintain, support;;None;;4392
n-verb-1091;;acariciar;;to caress, stroke, pet;;None;;4398
n-verb-1092;;vincular;;to bind or link;;None;;4407
n-verb-1093;;fortalecer;;to fortify, strengthen;;None;;4409
n-verb-1094;;vibrar;;to vibrate;;None;;4413
n-verb-1095;;calzar;;to wear shoes;;None;;4414
n-verb-1096;;evaluar;;to evaluate, assess;;None;;4419
n-verb-1097;;emocionar;;to thrill, excite, move, stimulate;;None;;4420
n-verb-1098;;emocionarse;;to get excited;;None;;4420
n-verb-1099;;editar;;to edit; to publish;;None;;4421
n-verb-1100;;sumergir;;to submerge, plunge;;None;;4431
n-verb-1101;;espantar;;to scare, frighten (e.......);;None;;4435
n-verb-1102;;agrupar;;to put in a group;;None;;4441
n-verb-1103;;atener (e-ie);;to abide by, comply with;;None;;4448
n-verb-1104;;encabezar;;to head, lead; to put a heading on;;None;;4460
n-verb-1105;;chupar;;to suck;;None;;4475
n-verb-1106;;inquietar;;to make uneasy, disturb;;None;;4490
n-verb-1107;;expandir;;to expand;;None;;4495
n-verb-1108;;predecir (e-i);;to predict;;None;;4496
n-verb-1109;;condicionar;;to make conditional on;;None;;4498
n-verb-1110;;alertar;;to alert, warn;;None;;4503
n-verb-1111;;enfermar;;to become ill;;None;;4513
n-verb-1112;;indagar;;to investigate;;None;;4515
n-verb-1113;;exceder;;to excel, exceed;;None;;4534
n-verb-1114;;joder;;to screw, screw up, screw around;;None;;4535
n-verb-1115;;alarmar;;to alarm;;None;;4537
n-verb-1116;;rascar;;to scratch, scrape;;None;;4542
n-verb-1117;;enredar;;to entangle;;None;;4548
n-verb-1118;;suspirar;;to sigh;;None;;4558
n-verb-1119;;suspirar a;;to long for;;None;;4558
n-verb-1120;;conferir (e-ie);;to confer;;None;;4561
n-verb-1121;;predominar;;to prevail, dominate;;None;;4567
n-verb-1122;;despejar;;to clear up;;None;;4573
n-verb-1123;;premiar;;to award;;None;;4583
n-verb-1124;;desayunarse;;to have breakfast;;None;;4588
n-verb-1125;;resucitar;;to resuscitate; to revitalize;;None;;4603
n-verb-1126;;ﬁnanciar;;to ﬁnance;;None;;4615
n-verb-1127;;sudar;;to sweat;;None;;4619
n-verb-1128;;perturbar;;to perturb, upset;;None;;4627
n-verb-1129;;envidiar;;to envy;;None;;4631
n-verb-1130;;reposar;;to rest;;None;;4632
n-verb-1131;;deteriorar;;to deteriorate;;None;;4639
n-verb-1132;;desesperar;;to despair, lose hope;;None;;4642
n-verb-1133;;ligar;;to tie, to bind;;None;;4645
n-verb-1134;;mediar;;to mediate;;None;;4655
n-verb-1135;;endurecer;;harden, make hard;;None;;4656
n-verb-1136;;vislumbrar;;to glimpse;;None;;4665
n-verb-1137;;entrenar;;to train;;None;;4670
n-verb-1138;;razonar;;to reason out, think;;None;;4680
n-verb-1139;;rectiﬁcar;;to rectify, straighten out;;None;;4683
n-verb-1140;;excitar;;to excite;;None;;4701
n-verb-1141;;enumerar;;to count, list;;None;;4706
n-verb-1142;;posar;;to pose; to place, lay;;None;;4709
n-verb-1143;;posarse;;to land, perch; to settle, rest;;None;;4709
n-verb-1144;;irritar;;to irritate;;None;;4711
n-verb-1145;;tumbar;;to knock down, throw to the ground;;None;;4720
n-verb-1146;;adentrar;;to penetrate, go inside;;None;;4722
n-verb-1147;;relajar;;to relax;;None;;4724
n-verb-1148;;recrear;;to recreate, reproduce; to entertain;;None;;4728
n-verb-1149;;impartir;;to impart; to give;;None;;4736
n-verb-1150;;asentir (e-ie);;to assent, agree;;None;;4742
n-verb-1151;;aﬂojar;;to loosen, slacken;;None;;4751
n-verb-1152;;aflojarse;;to become loose;;None;;4751
n-verb-1153;;ensuciar;;to soil, dirty;;None;;4766
n-verb-1154;;largar;;to tell everything one knows, spill the beans;;None;;4767
n-verb-1155;;presentir (e-ie);;to sense in advance;;None;;4783
n-verb-1156;;insertar;;to insert, put in;;None;;4785
n-verb-1157;;discurrir;;to pass, run, flow past; to think;;None;;4791
n-verb-1158;;engordar;;to fatten, get fat;;None;;4796
n-verb-1159;;aventurar;;to venture, risk;;None;;4800
n-verb-1160;;demandar;;to demand, sue;;None;;4802
n-verb-1161;;renacer;;to be reborn, reappear;;None;;4805
n-verb-1162;;restablecer;;to reestablish, restore;;None;;4806
n-verb-1163;;sobrevenir (e-ie);;to occur, befall, strike;;None;;4811
n-verb-1164;;rebasar;;to exceed, pass over;;None;;4813
n-verb-1165;;acatar;;to comply with, abide by;;None;;4820
n-verb-1166;;transitar;;to move, circulate, travel;;None;;4821
n-verb-1167;;percatarse;;to become aware;;None;;4826
n-verb-1168;;encomendar (e-ie);;to commend, entrust;;None;;4828
n-verb-1169;;seducir;;to seduce, tempt;;None;;4831
n-verb-1170;;incidir;;to inﬂuence, affect;;None;;4841
n-verb-1171;;vengar;;to take revenge, avenge;;None;;4849
n-verb-1172;;estropear;;to ruin, spoil; to break, damage;;None;;4851
n-verb-1173;;estropearse;;to go bad;;None;;4851
n-verb-1174;;fascinar;;to fascinate;;None;;4854
n-verb-1175;;incurrir;;to make a mistake, incur;;None;;4867
n-verb-1176;;tentar (e-ie);;to tempt, entice;;None;;4869
n-verb-1177;;resignar;;to resign, relinquish;;None;;4878
n-verb-1178;;dialogar;;to engage in a dialogue;;None;;4883
n-verb-1179;;adherir (e-ie);;to adhere, attach;;None;;4890
n-verb-1180;;alojar;;to host, accommodate;;None;;4896
n-verb-1181;;internar;;to commit, confine;;None;;4899
n-verb-1182;;internarse;;to penetrate, advance into;;None;;4899
n-verb-1183;;bordear;;to border;;None;;4915
n-verb-1184;;instruir;;to instruct;;None;;4918
n-verb-1185;;verter (e-ie);;to pour, spill;;None;;4924
n-verb-1186;;desmentir (e-ie);;to contradict;;None;;4925
n-verb-1187;;descifrar;;to decipher;;None;;4946
n-verb-1188;;entablar;;to start, establish;;None;;4952
n-verb-1189;;propagar;;to propagate, spread;;None;;4958
n-verb-1190;;perﬁlar;;to outline, sketch out a drawing;;None;;4969
n-verb-1191;;decaer;;to decay, decline, deteriorate; to weaken;;None;;4974
n-verb-1192;;disfrazar;;to disguise; to mask, conceal;;None;;4979
n-verb-1193;;irrumpir;;to burst in, raid;;None;;4994
